epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,3025.75,1.03708,2.42182,1.26921,0.88999,0.16667,0.21837,0.18434,0.66051,4.40997,1.27036,3.3488e-05,3.3488e-05,3.3488e-05
42,3096.45,0.99566,2.38184,1.27711,0.88684,0.16667,0.22443,0.1907,0.69114,4.37949,1.29446,3.03002e-05,3.03002e-05,3.03002e-05
43,3165.18,0.9809,2.36905,1.23756,0.73826,0.23991,0.24141,0.19704,0.74004,4.36637,1.33655,2.71124e-05,2.71124e-05,2.71124e-05
44,3234.26,0.97782,2.42737,1.23735,0.73115,0.24429,0.24026,0.19832,0.76734,4.33906,1.34866,2.39246e-05,2.39246e-05,2.39246e-05
45,3303.71,0.99293,2.44417,1.24371,0.72957,0.24132,0.23863,0.19945,0.76959,4.31811,1.33948,2.07368e-05,2.07368e-05,2.07368e-05
46,3374.17,0.97802,2.34775,1.26728,0.73411,0.25012,0.24607,0.20815,0.7545,4.2959,1.31488,1.7549e-05,1.7549e-05,1.7549e-05
47,3442.73,0.9435,2.32864,1.19847,0.74338,0.25928,0.24675,0.20827,0.73205,4.28338,1.28533,1.43612e-05,1.43612e-05,1.43612e-05
48,3512.94,0.98449,2.30435,1.26475,0.90908,0.16667,0.23173,0.19773,0.71416,4.28283,1.26867,1.11734e-05,1.11734e-05,1.11734e-05
49,3581.31,0.93487,2.32133,1.19821,0.9077,0.16667,0.23055,0.19693,0.70837,4.28556,1.26494,7.9856e-06,7.9856e-06,7.9856e-06
50,3651.26,0.94106,2.31425,1.20311,0.90616,0.16667,0.23017,0.19709,0.7053,4.28661,1.26224,4.7978e-06,4.7978e-06,4.7978e-06
